Target,Building,Model,RMSE,MAE,NRMSE
cooling_demand,Building_1,LinearRegression,1.2855587577558132,0.9820009158529893,0.15925918093480249
cooling_demand,Building_1,PolynomialRegression,3.0856530071187884,2.422860266597423,0.3822606843895746
cooling_demand,Building_1,RandomForest,1.2398532041521388,0.9456574144,0.1535970289816706
cooling_demand,Building_1,GaussianProcess,4.938641813652611,4.531122114857232,0.6118149368339331
cooling_demand,Building_2,LinearRegression,0.5194037208064932,0.39735932107810856,0.09772774659879081
cooling_demand,Building_2,PolynomialRegression,1.1154418947388212,0.8527314131198226,0.2098745512747737
cooling_demand,Building_2,RandomForest,0.6731717616759199,0.5062866059857142,0.12665977679246432
cooling_demand,Building_2,GaussianProcess,2.870286353360555,2.43499674373871,0.5400550788732066
cooling_demand,Building_3,LinearRegression,0.49233533798856166,0.34906887245432044,0.08992857264767569
cooling_demand,Building_3,PolynomialRegression,0.7026646481236735,0.5432764128038883,0.1283467262656887
cooling_demand,Building_3,RandomForest,0.5471959846056156,0.37368828131142856,0.09994926233644798
cooling_demand,Building_3,GaussianProcess,2.986858249164983,2.5963937667120427,0.5455710332427591
heating_demand,Building_1,LinearRegression,0.0,0.0,0.0
heating_demand,Building_1,PolynomialRegression,0.0,0.0,0.0
heating_demand,Building_1,RandomForest,0.0,0.0,0.0
heating_demand,Building_1,GaussianProcess,0.0,0.0,0.0
heating_demand,Building_2,LinearRegression,0.0,0.0,0.0
heating_demand,Building_2,PolynomialRegression,0.0,0.0,0.0
heating_demand,Building_2,RandomForest,0.0,0.0,0.0
heating_demand,Building_2,GaussianProcess,0.0,0.0,0.0
heating_demand,Building_3,LinearRegression,0.0,0.0,0.0
heating_demand,Building_3,PolynomialRegression,0.0,0.0,0.0
heating_demand,Building_3,RandomForest,0.0,0.0,0.0
heating_demand,Building_3,GaussianProcess,0.0,0.0,0.0
solar_generation,Building_1,LinearRegression,19.941341644519685,14.783292961495418,0.02966464919147578
solar_generation,Building_1,PolynomialRegression,19.854015566046456,15.176202248670876,0.02953474331406018
solar_generation,Building_1,RandomForest,16.700694955717275,9.850334455389145,0.02484387790684858
solar_generation,Building_1,GaussianProcess,341.36798476664967,223.18498147000003,0.5078174625269866
solar_generation,Building_2,LinearRegression,19.941341644519685,14.783292961495418,0.02966464919147578
solar_generation,Building_2,PolynomialRegression,19.854015566046456,15.176202248670876,0.02953474331406018
solar_generation,Building_2,RandomForest,16.700694955717275,9.850334455389145,0.02484387790684858
solar_generation,Building_2,GaussianProcess,341.36798476664967,223.18498147000003,0.5078174625269866
solar_generation,Building_3,LinearRegression,19.941341644519685,14.783292961495418,0.02966464919147578
solar_generation,Building_3,PolynomialRegression,19.854015566046456,15.176202248670876,0.02953474331406018
solar_generation,Building_3,RandomForest,16.700694955717275,9.850334455389145,0.02484387790684858
solar_generation,Building_3,GaussianProcess,341.36798476664967,223.18498147000003,0.5078174625269866
