Target,Building,GaussianProcess,LinearRegression,PolynomialRegression,RandomForest
cooling_demand,Building_1,0.6118149368339331,0.15925918093480249,0.3822606843895746,0.1535970289816706
cooling_demand,Building_2,0.5400550788732066,0.09772774659879081,0.2098745512747737,0.12665977679246432
cooling_demand,Building_3,0.5455710332427591,0.08992857264767569,0.1283467262656887,0.09994926233644798
heating_demand,Building_1,0.0,0.0,0.0,0.0
heating_demand,Building_2,0.0,0.0,0.0,0.0
heating_demand,Building_3,0.0,0.0,0.0,0.0
solar_generation,Building_1,0.5078174625269866,0.02966464919147578,0.02953474331406018,0.02484387790684858
solar_generation,Building_2,0.5078174625269866,0.02966464919147578,0.02953474331406018,0.02484387790684858
solar_generation,Building_3,0.5078174625269866,0.02966464919147578,0.02953474331406018,0.02484387790684858
